id,is_active,code,name,name_uk,name_en,name_ru,image,price,color,frame,attribute_value
1,1,,,,,,,0.0,#090909,1,
2,1,,,,,,,0.0,#2a2a2a,1,
3,1,,,,,,,0.0,#ffffff,1,
4,1,,,,,,,0.0,#bc0a0a,1,
5,1,,,,,,,0.0,#900909,1,
6,1,,,,,,,0.0,#38951d,1,
7,1,,,,,,,0.0,#e6cd00,1,
8,1,,,,,,,0.0,#848484,1,
9,1,,,,,,,0.0,#a9a9a9,1,
10,1,,,,,,,0.0,#616161,1,
11,1,,,,,,,0.0,#9d9d9d,1,
12,1,,,,,,,0.0,#3e6532,1,
13,1,,,,,,,0.0,#295ccd,1,
14,1,,,,,,,0.0,#ec7300,1,
15,1,,,,,,,0.0,#f6db00,1,
16,1,,,,,,,0.0,#169dff,1,
17,1,,,,,,,0.0,#090909,2,
18,1,,,,,,,0.0,#2a2a2a,2,
19,1,,,,,,,0.0,#ffffff,2,
20,1,,,,,,,0.0,#bc0a0a,2,
21,1,,,,,,,0.0,#900909,2,
22,1,,,,,,,0.0,#38951d,2,
23,1,,,,,,,0.0,#e6cd00,2,
24,1,,,,,,,0.0,#848484,2,
25,1,,,,,,,0.0,#a9a9a9,2,
26,1,,,,,,,0.0,#616161,2,
27,1,,,,,,,0.0,#9d9d9d,2,
28,1,,,,,,,0.0,#3e6532,2,
29,1,,,,,,,0.0,#295ccd,2,
30,1,,,,,,,0.0,#ec7300,2,
31,1,,,,,,,0.0,#f6db00,2,
32,1,,,,,,,0.0,#169dff,2,
33,1,,,,,,,0.0,#090909,3,
34,1,,,,,,,0.0,#2a2a2a,3,
35,1,,,,,,,0.0,#ffffff,3,
36,1,,,,,,,0.0,#bc0a0a,3,
37,1,,,,,,,0.0,#900909,3,
38,1,,,,,,,0.0,#38951d,3,
39,1,,,,,,,0.0,#e6cd00,3,
40,1,,,,,,,0.0,#848484,3,
41,1,,,,,,,0.0,#a9a9a9,3,
42,1,,,,,,,0.0,#616161,3,
43,1,,,,,,,0.0,#9d9d9d,3,
44,1,,,,,,,0.0,#3e6532,3,
45,1,,,,,,,0.0,#295ccd,3,
46,1,,,,,,,0.0,#ec7300,3,
47,1,,,,,,,0.0,#f6db00,3,
48,1,,,,,,,0.0,#169dff,3,
49,1,,,,,,,0.0,#090909,4,67
50,1,,,,,,,0.0,#2A2A2A,4,98
51,1,,,,,,,0.0,#FFFFFF,4,56
52,1,,,,,,,0.0,#BC0A0A,4,
53,1,,,,,,,0.0,#900909,4,
54,1,,,,,,,0.0,#38951D,4,73
55,1,,,,,,,0.0,#E6CD00,4,
56,1,,,,,,,0.0,#848484,4,
57,1,,,,,,,0.0,#A9A9A9,4,
58,1,,,,,,,0.0,#616161,4,
59,1,,,,,,,0.0,#9D9D9D,4,
60,1,,,,,,,0.0,#3E6532,4,65
61,1,,,,,,,0.0,#295CCD,4,99
62,1,,,,,,,0.0,#EC7300,4,100
63,1,,,,,,,0.0,#F6DB00,4,101
64,1,,Голубий,Голубий,Голубий,Голубий,,0.0,#169DFF,4,96
