id,is_active,frame,image,name,name_uk,name_ru,name_en,description,description_uk,description_ru,description_en
1,1,1,constructor/constructor_category_1.png,Рама,Рама,Рама,Рама,"Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння"
2,1,1,constructor/constructor_category_2.png,Підвіска,Підвіска,Підвіска,Підвіска,"Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма"
3,1,1,constructor/constructor_category_3.png,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,"Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики "
4,1,2,constructor/constructor_category_1.png,Рама,Рама,Рама,Рама,"Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння"
5,1,2,constructor/constructor_category_2.png,Підвіска,Підвіска,Підвіска,Підвіска,"Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма"
6,1,2,constructor/constructor_category_3.png,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,"Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики "
7,1,3,constructor/constructor_category_1.png,Рама,Рама,Рама,Рама,"Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння"
8,1,3,constructor/constructor_category_2.png,Підвіска,Підвіска,Підвіска,Підвіска,"Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма"
9,1,3,constructor/constructor_category_3.png,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,"Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики "
10,1,4,constructor/constructor_category_1.png,Рама,Рама,Рама,Рама,"Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння","Рама, бокові панелі, сидіння"
11,1,4,constructor/constructor_category_2.png,Підвіска,Підвіска,Підвіска,Підвіска,"Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма","Вилка, амортизатор, колеса, гальма"
12,1,4,constructor/constructor_category_3.png,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,Додаткові комплектуючі,"Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики ","Багажник, дзеркала, бризговики "
