id,item,image,text,text_uk,text_ru,text_en,alt,alt_en,alt_uk,alt_ru
1,1,"sliders/123.png","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","alt","alt_en","alt_uk","alt_ru"
2,2,"sliders/slide-1.png","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","alt","alt_en","alt_uk","alt_ru"
3,3,"sliders/slide-2.png","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","alt","alt_en","alt_uk","alt_ru"
4,4,"sliders/slide-3.png","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","Новий Eleek Atom1 — відчуй драйв!","alt","alt_en","alt_uk","alt_ru"












