code,title,title_uk,title_ru,meta_title,meta_descr,meta_descr_uk,meta_descr_ru,meta_key,meta_key_uk,meta_key_ru
index,"index","index","index","index","index","index","index","index","index","index"
about,"about","about","about","about","about","about","about","about","about","about"
faq,"faq","faq","faq","faq","faq","faq","faq","faq","faq","faq"
constructor,"constructor","constructor","constructor","constructor","constructor","constructor","constructor","constructor","constructor","constructor"
test_drive,"test_drive","test_drive","test_drive","test_drive","test_drive","test_drive","test_drive","test_drive","test_drive","test_drive"
delivery,"delivery","delivery","delivery","delivery","delivery","delivery","delivery","delivery","delivery","delivery"
order,"order","order","order","order","order","order","order","order","order","order"
search,"search","search","search","search","search","search","search","search","search","search"
profile,"profile","profile","profile","profile","profile","profile","profile","profile","profile","profile"
shop,"shop","shop","shop","shop","shop","shop","shop","shop","shop","shop"
login,"login","login","login","login","login","login","login","login","login","login"
register,"register","register","register","register","register","register","register","register","register","register"
