id,is_active,name,name_uk,name_en,name_ru,order,type,tab
1,1,Сидіння,Сидіння,Сидіння,Сидіння,0,,1
2,1,Бічні панелі,Бічні панелі,Бічні панелі,Бічні панелі,0,,1
3,1,Вилка,Вилка,Вилка,Вилка,0,,2
4,1,Амортизатори,Амортизатори,Амортизатори,Амортизатори,0,,2
5,1,Колеса,Колеса,Колеса,Колеса,0,,2
6,1,Гальма,Гальма,Гальма,Гальма,0,,2
7,1,"Группа ""Акумулятор","Группа ""Акумулятор","Группа ""Акумулятор","Группа ""Акумулятор",0,,3
8,1,"Группа ""Контроллер","Группа ""Контроллер","Группа ""Контроллер","Группа ""Контроллер",0,,3
9,1,"Группа ""Мотор","Группа ""Мотор","Группа ""Мотор","Группа ""Мотор",0,,3
10,1,"Группа ""Опції","Группа ""Опції","Группа ""Опції","Группа ""Опції",0,checkbox_options,3
11,1,Вилка,Вилка,Вилка,Вилка,0,,5
12,1,Колеса,Колеса,Колеса,Колеса,0,,5
13,1,Гальма,Гальма,Гальма,Гальма,0,,5
14,1,"Группа ""Аккумулятор","Группа ""Аккумулятор","Группа ""Аккумулятор","Группа ""Аккумулятор",0,,6
15,1,"Группа ""Контроллер","Группа ""Контроллер","Группа ""Контроллер","Группа ""Контроллер",0,,6
16,1,"Группа ""Мотор","Группа ""Мотор","Группа ""Мотор","Группа ""Мотор",0,,6
17,1,"Группа ""Опції","Группа ""Опції","Группа ""Опції","Группа ""Опції",0,checkbox_options,6
18,1,Вилка,Вилка,Вилка,Вилка,0,,8
19,1,Амортизатор,Амортизатор,Амортизатор,Амортизатор,0,,8
20,1,Колеса,Колеса,Колеса,Колеса,0,,8
21,1,Гальма,Гальма,Гальма,Гальма,0,,8
22,1,"Группа ""Мотор","Группа ""Мотор","Группа ""Мотор","Группа ""Мотор",0,,9
23,1,"Группа ""Зірказадня","Группа ""Зірказадня","Группа ""Зірказадня","Группа ""Зірказадня",0,,9
24,1,"Группа ""Опції","Группа ""Опції","Группа ""Опції","Группа ""Опції",0,checkbox_options,9
25,1,Колеса,Колеса,Колеса,Колеса,0,,11
26,1,"Группа ""Опції","Группа ""Опції","Группа ""Опції","Группа ""Опції",0,checkbox_options,12
